Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Run Line,,Open OU,,Close OU,
912,979,V,COL,YFLANDE-L,0,0,0,0,0,2,0,0,0,2,140,170,1.5,-140,8,100,8,100
912,980,H,SEA,RELIAS-L,0,1,1,2,1,0,2,0,x,7,-160,-190,-1.5,120,8,-120,8,-120
912,981,V,TOR,MSTROMAN-R,0,6,0,0,0,0,4,0,0,10,-115,-128,-1.5,125,9,-110,9,-105
912,982,H,NYY,INOVA-R,0,0,0,0,3,1,0,3,0,7,-105,118,1.5,-145,9,-110,9,-115
913,901,V,WAS,MSCHERZER-R,0,0,1,2,0,1,0,0,1,5,-180,-210,-1.5,-128,7.5,100,7.5,100
913,902,H,MIA,BHAND-L,0,0,0,0,0,0,0,0,0,0,160,180,1.5,108,7.5,-120,7.5,-120
913,903,V,STL,MWACHA-R,0,0,0,0,2,2,0,5,0,9,-130,-142,-1.5,120,7.5,-105,7.5,101
913,904,H,CIN,RIGLESIAS-R,0,1,0,1,0,0,0,0,0,2,110,127,1.5,-140,7.5,-115,7.5,-121
913,905,V,NYM,JNIESE-L,0,2,0,0,0,0,2,0,3,10,-170,-147,-1.5,105,8.5,100,8,-105
913,906,H,ATL,RWEBER-R,0,0,2,0,0,1,1,3,0,7,150,132,1.5,-125,8.5,-120,8,-115
913,907,V,MIL,TJUNGMANN-R,2,0,3,1,0,0,0,0,0,6,170,175,1.5,-124,7.5,100,7,-104
913,908,H,PIT,FLIRIANO-L,0,1,0,3,0,0,2,0,0,7,-200,-205,-1.5,104,7.5,-120,7,-116
913,909,V,CUB,DHAREN-R,1,0,0,1,1,0,1,0,0,4,-180,-185,-1.5,-119,9,100,9,100
913,910,H,PHI,AHARANG-R,2,0,2,0,0,0,1,2,x,7,160,165,1.5,-101,9,-120,9,-120
913,911,V,SDG,DESPAIGNE-R,2,1,0,0,0,0,0,0,0,3,140,156,1.5,-140,7.5,-105,7.5,-120
913,912,H,SFO,MLEAKE-R,0,4,0,0,2,0,2,2,x,10,-160,-176,-1.5,120,7.5,-115,7.5,100
913,913,V,LOS,ZGREINKE-R,1,0,1,0,0,0,1,1,0,4,-160,-140,-1.5,120,7.5,-110,7,-124
913,914,H,ARI,PCORBIN-L,0,0,0,0,0,0,0,0,3,3,140,125,1.5,-140,7.5,-110,7,104
913,915,V,TOR,RDICKEY-R,0,0,0,0,0,0,0,0,0,0,110,131,1.5,-160,8.5,-110,8.5,-120
913,916,H,NYY,MTANAKA-R,0,2,0,2,0,0,0,1,x,5,-130,-146,-1.5,140,8.5,-110,8.5,100
913,917,V,BOS,RHILL-L,0,0,0,0,0,0,0,0,0,2,123,145,1.5,-155,8,-120,7.5,-105
913,918,H,TAM,DSMYLY-L,0,0,0,0,0,0,0,0,0,0,-143,-160,-1.5,135,8,100,7.5,-115
913,919,V,DET,VERLANDER-R,1,0,0,0,0,1,0,0,0,2,145,-101,1.5,-215,8.5,-105,7.5,105
913,920,H,CLE,CANDERSON-R,0,0,0,0,3,1,2,1,x,7,-165,-109,-1.5,185,8.5,-115,7.5,-125
913,921,V,KAN,JCUETO-R,0,2,0,0,0,0,0,0,0,2,-117,-146,-1.5,110,8,-105,8,100
913,922,H,BAL,WCHEN-L,3,1,0,1,1,0,2,0,x,8,-103,131,1.5,-130,8,-115,8,-120
913,923,V,MIN,KGIBSON-R,4,0,2,0,0,1,0,0,0,7,160,163,1.5,-135,7.5,100,7,-115
913,924,H,CWS,CSALE-L,0,0,0,0,0,0,0,0,0,0,-180,-183,-1.5,115,7.5,-120,7,-105
913,925,V,OAK,FDOUBRONT-L,0,0,0,0,0,3,1,0,0,4,132,127,1.5,-160,9.5,-110,9.5,-110
913,926,H,TEX,AGONZALEZ-R,1,0,0,2,5,1,0,3,x,12,-152,-142,-1.5,140,9.5,-110,9.5,-110
913,927,V,HOU,MFIERS-R,0,0,0,0,0,0,0,0,5,5,-114,-114,-1.5,140,8,-110,8,-121
913,928,H,LAA,AHEANEY-L,1,1,0,0,0,0,1,0,0,3,-106,104,1.5,-160,8,-110,8,101
913,929,V,COL,KKENDRICK-R,0,0,1,2,0,0,0,0,0,3,157,178,1.5,-125,8,-110,8,-110
913,930,H,SEA,JPAXTON-L,0,0,0,2,0,0,0,0,0,2,-177,-198,-1.5,105,8,-110,8,-110
913,931,V,DET,RWOLF-L,0,0,2,4,1,1,1,0,0,9,173,162,1.5,-110,8,-105,8.5,-115
913,932,H,CLE,TBAUER-R,2,0,0,0,0,0,0,0,0,2,-193,-182,-1.5,-110,8,-115,8.5,-105
914,951,V,WAS,ZIMMERMAN-R,1,0,1,0,4,0,0,0,0,8,-160,-156,-1.5,100,7.5,-120,7,-125
914,952,H,PHI,ANOLA-R,0,1,1,0,0,4,0,0,0,7,140,141,1.5,-120,7.5,100,7,105
914,953,V,MIA,JNICOLINO-L,0,0,0,0,1,2,0,0,0,3,160,170,1.5,-123,8,-105,8,-105
914,954,H,NYM,LVERRETT-R,0,0,1,0,0,2,1,0,x,4,-180,-200,-1.5,103,8,-115,8,-115
914,955,V,SDG,JSHIELDS-R,5,0,0,0,5,0,0,0,0,10,-105,100,1.5,-215,8.5,-105,8.5,-115
914,956,H,ARI,HELLICKSON-R,1,0,0,0,0,0,0,0,2,3,-115,-110,-1.5,185,8.5,-115,8.5,-105
914,957,V,COL,JGRAY-R,1,0,0,0,0,0,0,0,0,1,290,322,1.5,130,6,-120,6,-102
914,958,H,LOS,CKERSHAW-L,0,1,0,0,1,0,0,2,x,4,-350,-382,-1.5,-149,6,100,6,-118
914,959,V,CIN,KSAMPSON-R,0,0,0,0,1,0,2,0,0,3,150,146,1.5,-150,7.5,-115,8,100
914,960,H,SFO,THUDSON-R,2,0,2,0,0,0,0,1,x,5,-170,-161,-1.5,130,7.5,-105,8,-120
914,961,V,BOS,ERODRIGUE-L,0,0,0,0,0,0,0,0,0,0,-105,140,1.5,-153,8.5,-110,8,-105
914,962,H,BAL,KGAUSMAN-R,1,0,0,0,0,0,1,0,x,2,-115,-155,-1.5,133,8.5,-110,8,-115
914,963,V,NYY,CSABATHIA-L,0,0,0,0,0,0,0,0,4,4,-114,-101,1.5,-230,8,-110,7.5,-110
914,964,H,TAM,ERAMIREZ-R,0,0,0,0,0,0,0,1,0,1,-106,-109,-1.5,190,8,-110,7.5,-110
914,965,V,KAN,EVOLQUEZ-R,1,0,0,0,0,0,2,0,0,3,115,137,1.5,-160,7.5,-110,7.5,-115
914,966,H,CLE,CCARRASCO-R,1,0,1,1,1,0,3,1,x,8,-135,-152,-1.5,140,7.5,-110,7.5,-105
914,967,V,HOU,SKAZMIR-L,1,0,0,0,1,0,1,0,0,3,110,-101,1.5,-210,8,-115,8,-120
914,968,H,TEX,CHAMELS-L,0,1,0,0,0,2,0,2,x,5,-130,-109,-1.5,180,8,-105,8,100
914,969,V,OAK,SGRAY-R,0,0,1,1,0,0,1,0,4,7,-130,-137,-1.5,110,8,-105,7.5,-120
914,970,H,CWS,JDANKS-L,0,0,4,3,0,0,0,0,0,8,110,122,1.5,-130,8,-115,7.5,100
914,971,V,DET,KLOBSTEIN-L,0,0,0,0,0,0,1,0,0,1,140,153,1.5,-135,8.5,-110,9.5,100
914,972,H,MIN,TDUFFEY-R,4,2,0,1,0,0,0,0,x,7,-160,-173,-1.5,115,8.5,-110,9.5,-120
914,973,V,LAA,GRICHARDS-R,0,1,0,0,0,0,0,0,0,1,-115,-109,-1.5,149,7,-110,7,-115
914,974,H,SEA,TWALKER-R,0,3,0,0,1,0,6,0,x,10,-105,-101,1.5,-169,7,-110,7,-105
915,901,V,WAS,STRASBURG-R,1,0,1,0,0,0,0,2,0,4,-245,-255,-1.5,-140,8,-120,8.5,-108
915,902,H,PHI,DBUCHANAN-R,0,0,0,0,0,0,0,0,0,0,205,215,1.5,120,8,100,8.5,-112
915,903,V,CUB,JLESTER-L,1,0,0,0,1,0,0,0,0,2,-114,108,1.5,-215,7.5,-110,7,100
915,904,H,PIT,JHAPP-L,0,0,0,0,0,0,1,0,0,1,-106,-118,-1.5,185,7.5,-110,7,-120
915,905,V,MIA,TKOEHLER-R,0,0,0,3,3,0,1,0,2,9,220,220,1.5,-105,7,-110,7,-115
915,906,H,NYM,JDEGROM-R,1,0,0,0,0,0,0,2,0,3,-260,-260,-1.5,-115,7,-110,7,-105
915,907,V,STL,CMARTINEZ-R,0,0,0,0,0,1,0,0,0,3,-150,-178,-1.5,-105,8,-105,8,-105
915,908,H,MIL,APENA-R,0,0,0,0,1,0,0,0,0,1,130,158,1.5,-115,8,-115,8,-115
915,909,V,SDG,TROSS-R,0,1,1,0,0,0,1,1,0,4,100,-104,1.5,-224,8.5,-105,8.5,100
915,910,H,ARI,JCHACIN-R,0,0,0,0,0,1,5,0,x,6,-120,-106,-1.5,192,8.5,-115,8.5,-120
915,911,V,COL,CRUSIN-L,0,0,0,3,0,0,0,0,0,5,220,175,1.5,-120,7.5,-110,7.5,-105
915,912,H,LOS,BANDERSON-L,1,0,0,0,0,0,2,0,0,4,-260,-195,-1.5,100,7.5,-110,7.5,-115
915,913,V,CIN,JLAMB-L,3,0,0,0,0,0,5,0,0,9,150,118,1.5,-197,7.5,-110,7,-130
915,914,H,SFO,CHESTON-R,0,0,0,3,1,1,0,1,2,8,-170,-133,-1.5,166,7.5,-110,7,110
915,915,V,BOS,JKELLY-R,0,0,1,0,3,0,0,1,0,5,-105,125,1.5,-165,8.5,-110,8.5,-105
915,916,H,BAL,UJIMENEZ-R,0,0,4,0,1,0,0,0,0,6,-115,-140,-1.5,145,8.5,-110,8.5,-115
915,917,V,NYY,AWARREN-R,1,0,0,2,0,0,0,0,0,3,105,-102,1.5,-230,7.5,-110,7.5,110
915,918,H,TAM,JODORIZZI-R,1,1,0,0,0,2,0,2,x,6,-125,-108,-1.5,190,7.5,-110,7.5,-130
915,919,V,KAN,KMEDLEN-R,0,1,0,0,1,0,0,0,0,2,115,-115,-1.5,140,8,-110,7.5,-115
915,920,H,CLE,JTOMLIN-R,0,0,0,0,0,0,0,0,0,0,-135,105,1.5,-160,8,-110,7.5,-105
915,921,V,HOU,CMCHUGH-R,0,3,0,2,0,0,0,0,0,5,-115,104,1.5,-200,9,-110,8.5,-130
915,922,H,TEX,DHOLLAND-L,4,0,0,1,0,0,0,0,1,6,-105,-114,-1.5,170,9,-110,8.5,110
915,923,V,DET,ASIMON-R,2,1,0,0,0,1,0,0,1,5,145,136,1.5,-145,9,100,9,-130
915,924,H,MIN,PHUGHES-R,0,1,0,0,0,0,2,0,1,4,-165,-151,-1.5,125,9,-120,9,110
915,925,V,OAK,ABROOKS-R,5,0,1,10,0,1,0,0,0,17,140,144,1.5,-145,8.5,-120,8,-125
915,926,H,CWS,SAMARDZIJA-R,2,0,0,1,2,0,1,0,0,6,-160,-159,-1.5,125,8.5,100,8,105
