bpid,mlbid,Name,Age,Team,WARP,DRA-,DRA,DRA SD,cFIP,G,GS,GR,IP,W,L,SV,ERA,RA9,FIP,WHIP,K%,BB%,K/BB,Whiff%
58089,542960,Brad Brach,31,BAL,1.3,92,4.31,0.57,98,67,0,67,68,4,5,18,3.18,3.57,3.58,1.13,25.5,9.5,2.7,26.4
65947,542881,Tyler Anderson,27,COL,1.3,98,4.61,0.63,98,17,15,2,86,6,6,0,4.81,5.02,4.67,1.33,22.4,7.2,3.1,24.9
47804,456696,David Hernandez,32,,1.3,92,4.31,0.52,92,64,0,64,55,3,1,2,3.11,3.27,2.76,1.04,24.3,4.2,5.8,26.6
60664,572096,Trevor Rosenthal,27,STL,1.3,55,2.59,0.69,65,50,0,50,47.7,3,4,11,3.4,3.78,2.17,1.2,37.6,9.9,3.8,34.9
101060,622608,Antonio Senzatela,22,COL,1.3,97,4.57,0.54,101,36,20,16,134.7,10,5,0,4.68,4.81,4.52,1.3,18.1,8.3,2.2,17.9
66960,592222,Alex Claudio,25,TEX,1.3,96,4.5,0.54,89,70,1,69,82.7,4,2,11,2.5,2.83,3.21,1.04,17.3,4.6,3.7,21.3
46719,467008,Pedro Strop,32,CHC,1.3,78,3.67,0.63,79,69,0,69,60.3,5,4,0,2.83,3.28,3.31,1.18,26,10.4,2.5,36.2
66543,571710,Mychal Givens,27,BAL,1.3,82,3.86,0.58,89,69,0,69,78.7,8,1,0,2.75,2.75,3.72,1.04,27.9,7.9,3.5,27
46755,489334,Craig Stammen,33,SD,1.3,90,4.23,0.59,94,60,0,60,80.3,2,3,0,3.14,3.25,4.38,1.2,22.5,8.5,2.6,26.9
58775,527055,Arodys Vizcaíno,26,ATL,1.3,83,3.89,0.62,93,62,0,62,57.3,5,3,14,2.83,2.98,3.72,1.1,27.2,8.9,3,31
70472,605388,Adam Morgan,27,PHI,1.2,73,3.43,0.59,81,37,0,37,54.7,3,3,0,4.12,4.12,4.22,1.26,27.5,7.9,3.5,33.9
58410,458681,Lance Lynn,30,STL,1.2,97,4.57,0.45,110,33,33,0,186.3,11,8,0,3.43,3.86,4.82,1.23,19.7,10.1,2,22.7
59239,489446,Kirby Yates,30,,1.2,61,2.88,0.72,71,62,0,62,56.7,4,5,1,3.97,4.45,3.92,1.11,38.1,8.2,4.6,36.3
67011,592390,Heath Hembree,28,BOS,1.2,86,4.06,0.67,88,62,0,62,62,2,3,0,3.63,4.21,3.92,1.45,25.8,6.6,3.9,30.2
56426,521230,Liam Hendriks,28,OAK,1.2,79,3.7,0.6,84,70,0,70,64,4,2,1,4.22,4.78,3.22,1.25,28.6,8.4,3.4,27.3
47078,460283,Jerry Blevins,33,NYM,1.2,61,2.86,0.72,73,75,0,75,49,6,0,1,2.94,2.94,3.12,1.37,31.8,11.1,2.9,33.1
70753,605164,Dylan Bundy,24,BAL,1.2,105,4.94,0.56,110,28,28,0,169.7,13,9,0,4.24,4.35,4.38,1.2,21.8,7.3,3,25.5
69837,606930,Jacob Barnes,27,MIL,1.2,84,3.97,0.64,86,73,0,73,72,3,4,2,4,4.38,3.88,1.25,26.3,10.9,2.4,33.9
49543,489265,Sergio Romo,34,,1.2,93,4.35,0.59,99,55,0,55,55.7,3,1,0,3.56,3.72,4.22,1.1,26.3,8.5,3.1,34.8
100292,608648,Tyler Duffey,26,MIN,1.2,90,4.24,0.61,91,56,0,56,71,2,3,1,4.94,5.2,3.72,1.37,21.6,5.8,3.7,23.8
52251,444468,Héctor Rondón,29,CHC,1.2,72,3.37,0.66,77,61,0,61,57.3,4,1,0,4.24,4.71,4.12,1.22,29.1,8.4,3.5,26.5
71177,607457,Kyle Barraclough,27,MIA,1.2,87,4.09,0.64,93,66,0,66,66,6,2,1,3,3.41,3.66,1.38,26.6,13.3,2,31
70473,605397,Joe Musgrove,24,HOU,1.2,98,4.63,0.62,97,38,15,23,109.3,7,8,2,4.77,4.86,4.38,1.33,21.2,6.1,3.5,25.6
